ID,Genre
1161,Action
1162,Adventure
1163,Role-Playing
1164,Action
1164,Adventure
1165,Strategy
1166,Action
1167,Action
1168,Strategy
1169,Sports
1170,Sports
1171,Sports
1172,Action
1173,Action
1174,Strategy
1175,Role-Playing
1176,Strategy
1177,Strategy
1178,Strategy
1179,Action
1180,Action
1181,Strategy
1182,Strategy
1183,Simulation
1184,Action
1185,Strategy
1186,Role-Playing
1187,Action
1187,Adventure
1188,Action
1189,Adventure
1190,Strategy
1191,Strategy
1192,Strategy
1193,Adventure
1194,Strategy
1195,Action
1196,Action
1197,Miscellaneous
1198,Strategy
1199,Strategy
1200,Driving
1201,Action
1202,Action
1203,Action
1204,Action
1205,Action
1206,Action
1206,Adventure
1207,Simulation
1208,Sports
1209,Strategy
1210,Sports
1211,Miscellaneous
1212,Action
1213,Strategy
1214,Action
1215,Action
1216,Action
1216,Adventure
1217,Miscellaneous
1218,Adventure
1219,Action
1219,Adventure
1220,Sci-Fi
1221,Action
1222,Sports
1223,Strategy
1224,Role-Playing
1225,Strategy
1226,Role-Playing
1227,Action
1228,Role-Playing
1229,Simulation
1230,Strategy
1231,Adventure
1232,Sports
1233,Sports
1234,Action
1234,Adventure
1235,Strategy
1236,Strategy
1237,Action
1238,Driving
1239,Real-Time
1239,Strategy
1240,Role-Playing
1241,Action
1242,Role-Playing
1243,Sports
1244,Strategy
1245,Other
1245,Strategy
1245,Games
1246,Strategy
1247,Adventure
1248,Action
1249,Strategy
1250,Action
1250,Adventure
1251,Action
1251,Adventure
1252,Driving
1253,Adventure
1254,Action
1255,Role-Playing
1256,Action
1257,Adventure
1258,Adventure
1259,Action
1259,Adventure
1260,Simulation
1261,Role-Playing
1262,Action
1263,Adventure
1264,Strategy
1265,Action
1265,Adventure
1266,Strategy
1267,Action
1268,Action
1268,Adventure
1269,Strategy
1270,Action
1271,Strategy
1272,Action
1273,Miscellaneous
1274,Strategy
1275,Role-Playing
1276,Action
1277,Simulation
1278,Strategy
1279,Strategy
1280,Action
1281,Strategy
1282,Action
1283,Action
1284,Driving
1285,Action
1286,Strategy
1287,Action
1287,Adventure
1288,Strategy
1289,Strategy
1290,Action
1291,Adventure
1292,Adventure
1293,Simulation
1294,Simulation
1295,Action
1296,Action
1297,Action
1298,Action
1298,Adventure
1299,Action
1299,Adventure
1300,Action
1301,Simulation
1302,Strategy
1303,Action
1304,Adventure
1305,Role-Playing
1306,Role-Playing
1307,Action
1308,Simulation
1309,Miscellaneous
1310,Action
1311,Simulation
1312,Sports
1313,Adventure
1314,Action
1315,Action
1316,Action
1316,Adventure
1317,Adventure
1318,Action
1318,Adventure
1319,Strategy
1320,Adventure
1321,Action
1322,Action
1323,Sports
1324,Strategy
1325,Strategy
1326,Role-Playing
1327,Strategy
1328,Action
1329,Adventure
1330,Action
1331,Role-Playing
1332,Role-Playing
1333,Action
1333,Adventure
1334,Strategy
1335,Sports
1336,Role-Playing
1337,Action
1338,Role-Playing
1339,Strategy
1340,Action
1340,Adventure
1341,Action
1341,Adventure
1342,Adventure
1343,Action
1344,Driving
1345,Strategy
1346,Action
1347,Action
1348,Third-Person
1349,Miscellaneous
1350,Action
1351,Strategy
1352,Action
1352,Adventure
1353,Simulation
1354,Adventure
1355,Adventure
1356,Action
1356,Adventure
1357,Miscellaneous
1358,Action
1359,Role-Playing
1360,Action
1361,Adventure
1362,Action
1363,Adventure
1364,Role-Playing
1365,Sports
1366,Simulation
1367,Strategy
1368,Miscellaneous
1369,Simulation
1370,Action
1371,Action
1372,Driving
1373,Strategy
1374,Adventure
1375,Miscellaneous
1376,Miscellaneous
1377,Action
1378,Adventure
1379,Action
1380,Adventure
1381,Sports
1382,Strategy
1383,Strategy
1384,Strategy
1385,Strategy
1386,Role-Playing
1387,Action
1388,Puzzle
1389,Action
1389,Adventure
1390,Strategy
1391,Strategy
1392,Adventure
1393,Action
1394,Action
1395,Action
1395,Adventure
1396,Action
1397,Strategy
1398,Action
1399,Sci-Fi
1400,Strategy
1401,Action
1401,Adventure
1402,Adventure
1403,Simulation
1404,Simulation
1405,Strategy
1406,Other
1406,Strategy
1406,Games
1407,Action
1408,Driving
1409,Sports
1410,Action
1411,Strategy
1412,Miscellaneous
1413,Adventure
1414,Adventure
1414,Games
1415,Action
1416,Strategy
1417,Action
1418,Action
1419,Action
1419,Adventure
1420,Role-Playing
1421,Action
1422,Miscellaneous
1423,Strategy
1424,Action
1425,Strategy
1426,Miscellaneous
1427,Action
1428,Strategy
1429,Miscellaneous
1430,Action
1431,Adventure
1432,Action
1432,Adventure
1433,Strategy
1434,Strategy
1435,Miscellaneous
1436,Action
1437,Action
1438,Action
1439,Action
1439,Adventure
1440,Role-Playing
1441,Strategy
1442,Strategy
1443,Action
1444,Action
1444,Adventure
1445,Driving
1446,Adventure
1447,Role-Playing
1448,Action
1449,Action
1450,Strategy
1451,Action
1452,Action
1452,Adventure
1453,Action
1453,Adventure
1454,Action
1455,Action
1456,Action
1457,Simulation
1458,Adventure
1459,Strategy
1460,Adventure
1461,Action
1462,Action
1462,Adventure
1463,General
1464,Action
1464,Adventure
1465,Action
1465,Adventure
1466,Action
1467,Adventure
1468,Miscellaneous
1469,Adventure
1470,Miscellaneous
1471,Adventure
1472,Action
1473,Adventure
1474,Action
1475,Action
1476,Action
1477,Sports
1478,Simulation
1479,Strategy
1480,Action
1481,Action
1481,Adventure
1482,Role-Playing
1483,Miscellaneous
1484,Puzzle
1485,Strategy
1486,Role-Playing
1487,Strategy
1488,Action
1489,Adventure
1490,Miscellaneous
1491,Strategy
1492,Role-Playing
1493,Action
1493,Adventure
1494,Action
1495,Action
1495,Adventure
1496,Action
1497,Strategy
1498,Simulation
1499,Simulation
1500,Role-Playing
1501,Action
1502,Strategy
1503,Adventure
1504,Action
1505,Adventure
1506,Role-Playing
1507,Action
1508,Action
1509,Action
1509,Adventure
1510,Strategy
1511,Action
1512,Strategy
1513,Miscellaneous
1514,Action
1514,Adventure
1515,Action
1516,Sci-Fi
1517,Strategy
1518,Action
1519,Strategy
1520,Action
1521,Adventure
1522,Adventure
1523,Action
1524,Action
1525,Driving
1526,Adventure
1527,Adventure
1528,Adventure
1529,Role-Playing
1530,Role-Playing
1531,Strategy
1532,Adventure
1533,Historic
1534,Action
1535,Action
1535,Adventure
1536,Action
1536,Adventure
1537,Simulation
1538,Strategy
1539,Action
1540,Simulation
1541,Role-Playing
1542,Simulation
1543,Strategy
1544,Miscellaneous
1545,Strategy
1546,Strategy
1547,Strategy
1548,Action
1549,Action
1550,Action
1551,Adventure
1552,Strategy
1553,Miscellaneous
1554,Strategy
1555,Role-Playing
1556,Action
1557,Action
1558,Role-Playing
1559,Role-Playing
1560,Strategy
1561,Strategy
1562,First-Person
1562,Shooters
1563,Action
1564,Action
1565,Role-Playing
1566,Historic
1567,Action
1568,Combat
1568,Sims
1569,Adventure
1570,Driving
1571,Driving
1572,Action
1573,Sports
1574,Action
1575,Action
1575,Adventure
1576,Role-Playing
1577,Action
1578,Action
1579,Strategy
1580,Action
1581,Action
1582,Strategy
1583,Strategy
1584,Adventure
1585,Adventure
1586,Adventure
1587,Horror
1588,Action
1589,Simulation
